root_script: extract_edges.sbat
Requirement already satisfied: decorator==5.1.0 in /home/casonk/.local/lib/python3.9/site-packages (5.1.0)
WARNING: You are using pip version 21.2.4; however, version 22.2.2 is available.
You should consider upgrading via the '/sw/arcts/centos7/python/3.9.7/bin/python3.9 -m pip install --upgrade pip' command.
Requirement already satisfied: pandas==1.4.2 in /home/casonk/.local/lib/python3.9/site-packages (1.4.2)
Requirement already satisfied: numpy>=1.18.5 in /home/casonk/.local/lib/python3.9/site-packages (from pandas==1.4.2) (1.22.3)
Requirement already satisfied: pytz>=2020.1 in /home/casonk/.local/lib/python3.9/site-packages (from pandas==1.4.2) (2022.1)
Requirement already satisfied: python-dateutil>=2.8.1 in /home/casonk/.local/lib/python3.9/site-packages (from pandas==1.4.2) (2.8.2)
Requirement already satisfied: six>=1.5 in /sw/arcts/centos7/python/3.9.7/lib/python3.9/site-packages (from python-dateutil>=2.8.1->pandas==1.4.2) (1.16.0)
WARNING: You are using pip version 21.2.4; however, version 22.2.2 is available.
You should consider upgrading via the '/sw/arcts/centos7/python/3.9.7/bin/python3.9 -m pip install --upgrade pip' command.

/sw/arcts/centos7/python/3.9.7/bin/python

spinning up at: Fri Aug  5 21:46:31 EDT 2022
Job submitted by gl-login1.arc-ts.umich.edu
Job ID 40521238
Running on gl[3226-3227]
Running in /home/casonk/path/mmani_root/mmani0/shared_data/pushshift_python/Great_Lakes_HPC/pys/insurrection 

1 2020-10-28 SUBSETT
1 2020-10-28 AUTHSETT
1 2020-10-29 LEVEL_MAPPED
1 2020-10-29 CSPPED
1 2020-10-29 CAPPED
1 2020-10-29 SUBSETT
1 2020-10-29 AUTHSETT
1 2020-10-30 LEVEL_MAPPED
1 2020-10-30 CSPPED
1 2020-10-30 CAPPED
1 2020-10-30 SUBSETT
1 2020-10-30 AUTHSETT
1 2020-10-31 LEVEL_MAPPED
1 2020-10-31 CSPPED
1 2020-10-31 CAPPED
1 2020-10-31 SUBSETT
1 2020-10-31 AUTHSETT
1 2020-11-01 LEVEL_MAPPED
1 2020-11-01 CSPPED
1 2020-11-01 CAPPED
1 2020-11-01 SUBSETT
1 2020-11-01 AUTHSETT
1 2020-11-02 LEVEL_MAPPED
1 2020-11-02 CSPPED
1 2020-11-02 CAPPED
1 2020-11-02 SUBSETT
1 2020-11-02 AUTHSETT
1 2020-11-03 LEVEL_MAPPED
1 2020-11-03 CSPPED
1 2020-11-03 CAPPED
1 2020-11-03 SUBSETT
1 2020-11-03 AUTHSETT
1 2020-11-04 LEVEL_MAPPED
1 2020-11-04 CSPPED
1 2020-11-04 CAPPED
1 2020-11-04 SUBSETT
1 2020-11-04 AUTHSETT
1 2020-11-05 LEVEL_MAPPED
1 2020-11-05 CSPPED
1 2020-11-05 CAPPED
1 2020-11-05 SUBSETT
1 2020-11-05 AUTHSETT
1 2020-11-06 LEVEL_MAPPED
1 2020-11-06 CSPPED
1 2020-11-06 CAPPED
1 2020-11-06 SUBSETT
1 2020-11-06 AUTHSETT
1 2020-11-07 LEVEL_MAPPED
1 2020-11-07 CSPPED
1 2020-11-07 CAPPED
1 2020-11-07 SUBSETT
1 2020-11-07 AUTHSETT
1 2020-11-08 LEVEL_MAPPED
1 2020-11-08 CSPPED
1 2020-11-08 CAPPED
1 2020-11-08 SUBSETT
1 2020-11-08 AUTHSETT
1 2020-11-09 LEVEL_MAPPED
1 2020-11-09 CSPPED
1 2020-11-09 CAPPED
1 2020-11-09 SUBSETT
1 2020-11-09 AUTHSETT
1 2020-11-10 LEVEL_MAPPED
1 2020-11-10 CSPPED
1 2020-11-10 CAPPED
1 2020-11-10 SUBSETT
1 2020-11-10 AUTHSETT
1 2020-11-11 LEVEL_MAPPED
1 2020-11-11 CSPPED
1 2020-11-11 CAPPED
1 2020-11-11 SUBSETT
1 2020-11-11 AUTHSETT
1 2020-11-12 LEVEL_MAPPED
1 2020-11-12 CSPPED
1 2020-11-12 CAPPED
1 2020-11-12 SUBSETT
1 2020-11-12 AUTHSETT
1 2020-11-13 LEVEL_MAPPED
1 2020-11-13 CSPPED
1 2020-11-13 CAPPED
1 2020-11-13 SUBSETT
1 2020-11-13 AUTHSETT
1 2020-11-14 LEVEL_MAPPED
1 2020-11-14 CSPPED
1 2020-11-14 CAPPED
1 2020-11-14 SUBSETT
1 2020-11-14 AUTHSETT
1 2020-11-15 LEVEL_MAPPED
1 2020-11-15 CSPPED
1 2020-11-15 CAPPED
1 2020-11-15 SUBSETT
1 2020-11-15 AUTHSETT
1 2020-11-16 LEVEL_MAPPED
1 2020-11-16 CSPPED
1 2020-11-16 CAPPED
1 2020-11-16 SUBSETT
1 2020-11-16 AUTHSETT
1 2020-11-17 LEVEL_MAPPED
1 2020-11-17 CSPPED
1 2020-11-17 CAPPED
1 2020-11-17 SUBSETT
1 2020-11-17 AUTHSETT
1 2020-11-18 LEVEL_MAPPED
1 2020-11-18 CSPPED
1 2020-11-18 CAPPED
1 2020-11-18 SUBSETT
1 2020-11-18 AUTHSETT
1 2020-11-19 LEVEL_MAPPED
1 2020-11-19 CSPPED
1 2020-11-19 CAPPED
1 2020-11-19 SUBSETT
1 2020-11-19 AUTHSETT
1 2020-11-20 LEVEL_MAPPED
1 2020-11-20 CSPPED
1 2020-11-20 CAPPED
